hscode,jp_mfn,us_mfn,us_301,us_surcharge,description
76,0.03,0.03,0.075,0.10,章76 - Aluminum 301 7.5%
77,0.02,0.02,0,0.10,章77 - Reserved
78,0.02,0.02,0,0.10,章78 - Lead
79,0.02,0.02,0,0.10,章79 - Zinc
80,0.02,0.02,0,0.10,章80 - Tin
81,0.02,0.02,0,0.10,章81 - Other base metals
82,0.03,0.03,0.075,0.10,章82 - Tools/Implements 301 7.5%
83,0.03,0.03,0.075,0.10,章83 - Misc base metal articles 301 7.5%
84,0,0.02,0.075,0.10,章84 - Machinery - 301 7.5%
85,0,0.02,0.075,0.10,章85 - Electronics - 301 7.5%
86,0,0.03,0.25,0.10,章86 - Railway vehicles - 301 25%
87,0.03,0.03,0.075,0.10,章87 - Motor vehicles 301 7.5%
88,0,0.02,0,0.10,章88 - Aircraft
89,0.03,0.03,0.25,0.10,章89 - Ships/Boats - 301 25%
90,0,0.02,0.075,0.10,章90 - Precision instruments 301 7.5%
91,0.05,0.05,0.075,0.10,章91 - Clocks/Watches 301 7.5%
92,0.03,0.03,0.075,0.10,章92 - Musical instruments 301 7.5%
93,0.05,0.03,0,0.10,章93 - Arms/Ammunition
94,0.02,0.03,0.25,0.10,章94 - Furniture/Bedding 301 25%
95,0.03,0.03,0.25,0.10,章95 - Toys/Games 301 25%
96,0.03,0.05,0.075,0.10,章96 - Misc manufactured articles 301 7.5%
97,0,0.02,0.075,0.10,章97 - Works of art 301 7.5%
